Forward: Conversion from ETRS89_DREF91_UTM33 to ETRS89_DREF91.|>Iterative Transformation from ETRS89_DREF91 to DB_Ref_Geod with DB_Ref ellipsoidal height 0.
Reverse: Transformation from DB_Ref_Geod to ETRS89_DREF91 with DB_Ref ellipsoidal height 0.|>Conversion from ETRS89_DREF91 to ETRS89_DREF91_UTM33:
dxRoundTrip,dyRoundTrip,dx,dy
-7.034E-005,2.279E-005,,
-7.032E-005,2.279E-005,,
-7.030E-005,2.279E-005,,
-7.029E-005,2.279E-005,,
-7.027E-005,2.278E-005,,
-7.034E-005,2.284E-005,,
-7.032E-005,2.285E-005,,
-7.030E-005,2.285E-005,,
-7.028E-005,2.285E-005,,
-7.027E-005,2.285E-005,,
-7.034E-005,2.290E-005,,
-7.032E-005,2.290E-005,,
-7.030E-005,2.291E-005,,
-7.028E-005,2.290E-005,,
-7.026E-005,2.290E-005,,
-7.034E-005,2.296E-005,,
-7.032E-005,2.296E-005,,
-7.030E-005,2.296E-005,,
-7.028E-005,2.296E-005,,
-7.026E-005,2.296E-005,,
-7.033E-005,2.302E-005,,
-7.032E-005,2.302E-005,,
-7.030E-005,2.302E-005,,
-7.028E-005,2.302E-005,,
-7.026E-005,2.302E-005,,
-7.033E-005,2.308E-005,,
-7.031E-005,2.308E-005,,
-7.030E-005,2.308E-005,,
-7.028E-005,2.308E-005,,
-7.026E-005,2.307E-005,,
-7.034E-005,2.279E-005,,
-7.032E-005,2.279E-005,,
-7.030E-005,2.279E-005,,
-7.029E-005,2.279E-005,,
-7.027E-005,2.278E-005,,
-7.034E-005,2.284E-005,,
-7.032E-005,2.285E-005,,
-7.030E-005,2.285E-005,,
-7.028E-005,2.285E-005,,
-7.027E-005,2.285E-005,,
-7.034E-005,2.290E-005,,
-7.032E-005,2.290E-005,,
-7.030E-005,2.291E-005,,
-7.028E-005,2.290E-005,,
-7.026E-005,2.290E-005,,
-7.034E-005,2.296E-005,,
-7.032E-005,2.296E-005,,
-7.030E-005,2.296E-005,,
-7.028E-005,2.296E-005,,
-7.026E-005,2.296E-005,,
-7.033E-005,2.302E-005,,
-7.032E-005,2.302E-005,,
-7.030E-005,2.302E-005,,
-7.028E-005,2.302E-005,,
-7.026E-005,2.302E-005,,
-7.033E-005,2.308E-005,,
-7.031E-005,2.308E-005,,
-7.030E-005,2.308E-005,,
-7.028E-005,2.308E-005,,
-7.026E-005,2.307E-005,,
-7.034E-005,2.279E-005,,
-7.032E-005,2.279E-005,,
-7.030E-005,2.279E-005,,
-7.029E-005,2.279E-005,,
-7.027E-005,2.278E-005,,
-7.034E-005,2.284E-005,,
-7.032E-005,2.285E-005,,
-7.030E-005,2.285E-005,,
-7.028E-005,2.285E-005,,
-7.027E-005,2.285E-005,,
-7.034E-005,2.290E-005,,
-7.032E-005,2.290E-005,,
-7.030E-005,2.291E-005,,
-7.028E-005,2.290E-005,,
-7.026E-005,2.290E-005,,
-7.034E-005,2.296E-005,,
-7.032E-005,2.296E-005,,
-7.030E-005,2.296E-005,,
-7.028E-005,2.296E-005,,
-7.026E-005,2.296E-005,,
-7.033E-005,2.302E-005,,
-7.032E-005,2.302E-005,,
-7.030E-005,2.302E-005,,
-7.028E-005,2.302E-005,,
-7.026E-005,2.302E-005,,
-7.033E-005,2.308E-005,,
-7.031E-005,2.308E-005,,
-7.030E-005,2.308E-005,,
-7.028E-005,2.308E-005,,
-7.026E-005,2.307E-005,,
-7.034E-005,2.279E-005,,
-7.032E-005,2.279E-005,,
-7.030E-005,2.279E-005,,
-7.029E-005,2.279E-005,,
-7.027E-005,2.278E-005,,
-7.034E-005,2.284E-005,,
-7.032E-005,2.285E-005,,
-7.030E-005,2.285E-005,,
-7.028E-005,2.285E-005,,
-7.027E-005,2.285E-005,,
-7.034E-005,2.290E-005,,
-7.032E-005,2.290E-005,,
-7.030E-005,2.291E-005,,
-7.028E-005,2.290E-005,,
-7.026E-005,2.290E-005,,
-7.034E-005,2.296E-005,,
-7.032E-005,2.296E-005,,
-7.030E-005,2.296E-005,,
-7.028E-005,2.296E-005,,
-7.026E-005,2.296E-005,,
-7.033E-005,2.302E-005,,
-7.032E-005,2.302E-005,,
-7.030E-005,2.302E-005,,
-7.028E-005,2.302E-005,,
-7.026E-005,2.302E-005,,
-7.033E-005,2.308E-005,,
-7.031E-005,2.308E-005,,
-7.030E-005,2.308E-005,,
-7.028E-005,2.308E-005,,
-7.026E-005,2.307E-005,,
-7.034E-005,2.279E-005,,
-7.032E-005,2.279E-005,,
-7.030E-005,2.279E-005,,
-7.029E-005,2.279E-005,,
-7.027E-005,2.278E-005,,
-7.034E-005,2.284E-005,,
-7.032E-005,2.285E-005,,
-7.030E-005,2.285E-005,,
-7.028E-005,2.285E-005,,
-7.027E-005,2.285E-005,,
-7.034E-005,2.290E-005,,
-7.032E-005,2.290E-005,,
-7.030E-005,2.291E-005,,
-7.028E-005,2.290E-005,,
-7.026E-005,2.290E-005,,
-7.034E-005,2.296E-005,,
-7.032E-005,2.296E-005,,
-7.030E-005,2.296E-005,,
-7.028E-005,2.296E-005,,
-7.026E-005,2.296E-005,,
-7.033E-005,2.302E-005,,
-7.032E-005,2.302E-005,,
-7.030E-005,2.302E-005,,
-7.028E-005,2.302E-005,,
-7.026E-005,2.302E-005,,
-7.033E-005,2.308E-005,,
-7.031E-005,2.308E-005,,
-7.030E-005,2.308E-005,,
-7.028E-005,2.308E-005,,
-7.026E-005,2.307E-005,,
