Forward: Transformation from ETRS89_DREF91_Geoc to EGBT22_Geoc.|>Conversion from EGBT22_Geoc to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_EGBT_LDP.
Reverse: Conversion from EGBT22_EGBT_LDP to EGBT22_Geod.|>Conversion from EGBT22_Geod to EGBT22_Geoc.|>Transformation from EGBT22_Geoc to ETRS89_DREF91_Geoc.
dxRoundTrip,dyRoundTrip,dzRoundTrip,dx,dy,dz
9.313E-010,2.328E-010,0.000E+000,-1.310E-010,-7.858E-010,-1.017E-009
4.657E-010,2.328E-010,9.313E-010,8.458E-011,-3.383E-010,1.630E-009
-9.313E-010,-2.328E-010,9.313E-010,8.004E-011,-1.506E-009,-1.791E-010
4.657E-010,2.328E-010,0.000E+000,2.728E-011,-3.234E-009,-1.252E-010
1.397E-009,3.492E-010,-9.313E-010,2.910E-010,-3.125E-009,3.817E-010
0.000E+000,0.000E+000,0.000E+000,1.182E-011,-9.895E-010,-2.341E-010
1.863E-009,4.657E-010,-9.313E-010,1.473E-010,-1.419E-009,-4.017E-010
1.397E-009,3.492E-010,9.313E-010,5.821E-011,-1.892E-009,1.520E-009
-1.863E-009,-5.821E-010,1.863E-009,-7.640E-011,4.002E-010,1.327E-009
4.657E-010,1.164E-010,0.000E+000,0.000E+000,-2.277E-009,1.109E-009
0.000E+000,1.164E-010,9.313E-010,-1.091E-011,-1.732E-009,9.587E-011
-4.657E-010,0.000E+000,-9.313E-010,1.719E-010,-2.830E-009,-9.213E-011
0.000E+000,-1.164E-010,9.313E-010,-2.528E-010,-2.437E-009,-2.801E-010
4.657E-010,2.328E-010,0.000E+000,1.455E-011,-1.775E-009,-1.651E-009
4.657E-010,1.164E-010,0.000E+000,1.419E-010,-1.266E-009,-7.068E-010
2.794E-009,6.985E-010,-9.313E-010,8.004E-011,-3.718E-009,8.656E-010
-2.328E-009,-5.821E-010,9.313E-010,1.710E-010,1.055E-009,-5.006E-010
0.000E+000,0.000E+000,0.000E+000,-8.731E-011,-1.397E-009,-1.867E-009
0.000E+000,0.000E+000,9.313E-010,-2.365E-011,2.256E-010,1.650E-009
9.313E-010,3.492E-010,0.000E+000,1.819E-011,-3.260E-009,-4.462E-010
0.000E+000,0.000E+000,0.000E+000,1.637E-010,3.056E-010,1.944E-010
-9.313E-010,-2.328E-010,1.863E-009,-6.548E-011,-1.164E-009,9.223E-010
1.397E-009,3.492E-010,9.313E-010,5.457E-011,-2.910E-011,1.172E-009
0.000E+000,-1.164E-010,9.313E-010,-7.640E-011,8.295E-010,1.170E-009
1.397E-009,2.328E-010,-9.313E-010,-1.419E-010,-1.775E-009,6.889E-010
4.657E-010,1.164E-010,0.000E+000,1.392E-010,-2.095E-009,-8.336E-010
9.313E-010,2.328E-010,9.313E-010,1.692E-010,-1.979E-009,1.057E-009
4.657E-010,1.164E-010,0.000E+000,7.458E-011,-1.339E-009,-8.030E-010
0.000E+000,-1.164E-010,-9.313E-010,8.185E-011,-9.313E-010,-1.209E-010
1.397E-009,4.657E-010,0.000E+000,-5.457E-011,-1.281E-009,5.612E-010
0.000E+000,-1.164E-010,0.000E+000,-9.823E-011,9.823E-010,1.914E-010
0.000E+000,-1.164E-010,9.313E-010,-2.728E-012,5.020E-010,1.218E-009
-4.657E-010,-1.164E-010,9.313E-010,-1.091E-011,1.681E-009,8.353E-010
2.794E-009,6.985E-010,-1.863E-009,7.276E-011,-3.329E-009,2.006E-010
4.657E-010,1.164E-010,-9.313E-010,-1.091E-011,-2.994E-009,9.503E-010
-4.657E-010,-1.164E-010,0.000E+000,4.457E-011,-1.790E-009,2.461E-011
4.657E-010,2.328E-010,-9.313E-010,8.367E-011,-1.994E-009,-1.058E-009
4.657E-010,3.492E-010,-9.313E-010,9.277E-011,-2.692E-009,-2.619E-009
-4.657E-010,0.000E+000,-9.313E-010,9.277E-011,-8.440E-010,-1.638E-009
9.313E-010,2.328E-010,9.313E-010,1.746E-010,-2.372E-009,9.792E-010
-4.657E-010,0.000E+000,9.313E-010,2.456E-011,-1.113E-009,9.501E-010
4.657E-010,2.328E-010,-9.313E-010,9.095E-011,-2.699E-009,5.519E-010
0.000E+000,0.000E+000,0.000E+000,1.819E-011,-5.100E-009,-1.483E-009
9.313E-010,2.328E-010,0.000E+000,6.185E-011,-7.130E-010,-4.354E-011
1.863E-009,4.657E-010,0.000E+000,8.004E-011,-1.586E-009,-1.421E-011
-9.313E-010,-2.328E-010,1.863E-009,8.185E-012,8.440E-010,1.119E-010
1.397E-009,2.328E-010,-9.313E-010,1.874E-010,-3.471E-009,1.716E-010
1.397E-009,3.492E-010,9.313E-010,4.729E-011,-2.423E-009,2.094E-009
-1.397E-009,-3.492E-010,9.313E-010,7.276E-012,1.062E-009,-2.128E-010
-9.313E-010,-2.328E-010,9.313E-010,4.002E-011,-3.347E-009,-1.362E-009
-9.313E-010,-2.328E-010,0.000E+000,6.366E-011,-4.366E-011,7.126E-010
1.863E-009,3.492E-010,-9.313E-010,7.822E-011,-3.114E-009,-8.589E-010
9.313E-010,2.328E-010,0.000E+000,-3.456E-011,-6.112E-010,5.646E-010
4.657E-010,0.000E+000,0.000E+000,5.821E-011,1.892E-009,-5.794E-010
-1.397E-009,-3.492E-010,1.863E-009,-1.091E-011,2.183E-010,3.658E-010
2.328E-009,5.821E-010,-9.313E-010,5.002E-011,-1.965E-009,-8.243E-010
-1.863E-009,-4.657E-010,9.313E-010,1.901E-010,1.455E-011,-5.537E-010
9.313E-010,2.328E-010,0.000E+000,-1.637E-011,-3.289E-009,1.101E-009
0.000E+000,0.000E+000,0.000E+000,-2.183E-011,-1.717E-009,-2.898E-010
1.863E-009,4.657E-010,-1.863E-009,-2.910E-011,-3.245E-009,-6.992E-011
1.863E-009,3.492E-010,-9.313E-010,6.366E-011,-2.619E-010,6.684E-010
9.313E-010,1.164E-010,-9.313E-010,-6.912E-011,-3.020E-010,7.802E-010
2.328E-009,6.985E-010,-9.313E-010,3.820E-011,-4.482E-009,8.920E-010
2.328E-009,5.821E-010,-1.863E-009,-3.638E-012,-1.419E-010,2.736E-010
-4.657E-010,-1.164E-010,0.000E+000,-7.640E-011,4.147E-010,-3.701E-010
4.657E-010,1.164E-010,0.000E+000,1.965E-010,-1.171E-009,1.093E-009
9.313E-010,3.492E-010,-9.313E-010,-5.457E-012,-1.382E-009,2.529E-010
-4.657E-010,0.000E+000,-9.313E-010,0.000E+000,-2.299E-009,-1.997E-009
-1.397E-009,-4.657E-010,-9.313E-010,1.273E-010,6.985E-010,-2.945E-010
-4.657E-010,-2.328E-010,-9.313E-010,-1.419E-010,-1.754E-009,9.293E-010
0.000E+000,0.000E+000,0.000E+000,2.829E-010,-2.765E-010,-3.100E-010
-4.657E-010,-1.164E-010,9.313E-010,2.728E-012,-1.863E-009,7.176E-010
1.397E-009,2.328E-010,-9.313E-010,-6.003E-011,-2.139E-009,7.886E-010
2.328E-009,6.985E-010,0.000E+000,2.092E-010,-2.889E-009,1.547E-010
9.313E-010,2.328E-010,0.000E+000,-1.819E-011,-7.421E-010,4.267E-010
-2.328E-009,-5.821E-010,2.794E-009,-7.731E-011,1.237E-009,6.034E-010
0.000E+000,1.164E-010,0.000E+000,-1.364E-011,-9.895E-010,2.315E-009
9.313E-010,2.328E-010,0.000E+000,1.928E-010,-2.030E-009,9.816E-010
-4.657E-010,-1.164E-010,9.313E-010,1.564E-010,-1.819E-010,-6.040E-010
1.863E-009,4.657E-010,-1.863E-009,-3.638E-011,-2.023E-009,-8.054E-010
-9.313E-010,-3.492E-010,1.863E-009,8.367E-011,-1.455E-010,1.195E-009
4.657E-010,0.000E+000,-9.313E-010,1.000E-010,-2.052E-009,-1.544E-009
-9.313E-010,-3.492E-010,1.863E-009,-2.728E-011,1.164E-009,6.007E-010
2.794E-009,6.985E-010,0.000E+000,2.019E-010,-1.004E-009,8.825E-010
-4.657E-010,-1.164E-010,9.313E-010,4.002E-011,-5.530E-010,1.365E-009
9.313E-010,2.328E-010,0.000E+000,1.837E-010,-1.339E-009,-3.302E-010
0.000E+000,1.164E-010,9.313E-010,-2.183E-011,-2.881E-009,1.593E-009
4.657E-010,1.164E-010,0.000E+000,5.457E-012,3.492E-010,6.962E-010
0.000E+000,0.000E+000,0.000E+000,2.728E-011,-8.731E-010,2.629E-011
-9.313E-010,-2.328E-010,0.000E+000,-2.183E-011,-2.183E-009,1.194E-009
9.313E-010,1.164E-010,0.000E+000,-1.364E-010,-1.994E-009,-3.031E-010
2.328E-009,5.821E-010,-9.313E-010,-1.819E-011,-1.546E-009,5.298E-010
-9.313E-010,-1.164E-010,9.313E-010,1.983E-010,1.721E-009,2.042E-009
1.397E-009,2.328E-010,9.313E-010,-8.185E-011,-2.805E-009,1.440E-009
1.863E-009,4.657E-010,-9.313E-010,-2.910E-011,-8.295E-010,1.291E-009
-4.657E-010,-1.164E-010,-9.313E-010,1.019E-010,1.528E-009,1.044E-009
-4.657E-010,-1.164E-010,1.863E-009,1.637E-011,-9.895E-010,1.404E-009
1.397E-009,3.492E-010,-9.313E-010,1.746E-010,-2.168E-009,-8.297E-010
9.313E-010,2.328E-010,0.000E+000,-6.366E-011,-3.201E-010,1.594E-009
2.328E-009,5.821E-010,-9.313E-010,3.274E-011,-1.135E-009,2.129E-009
9.313E-010,1.164E-010,0.000E+000,1.919E-010,3.347E-010,1.638E-009
0.000E+000,0.000E+000,9.313E-010,3.638E-011,-1.244E-009,-8.170E-010
4.657E-010,2.328E-010,0.000E+000,-2.365E-011,-2.008E-009,2.016E-010
1.397E-009,3.492E-010,0.000E+000,3.274E-011,-2.052E-009,1.673E-009
1.863E-009,4.657E-010,9.313E-010,-8.004E-011,-8.367E-010,2.666E-009
-9.313E-010,-2.328E-010,9.313E-010,-7.185E-011,-4.948E-010,-1.518E-011
2.328E-009,4.657E-010,-1.863E-009,-7.731E-011,-2.241E-009,1.008E-009
2.328E-009,4.657E-010,-9.313E-010,-7.276E-012,-3.762E-009,-3.093E-010
-9.313E-010,0.000E+000,-9.313E-010,9.095E-011,-2.765E-010,-7.210E-010
1.397E-009,3.492E-010,0.000E+000,1.201E-010,-1.186E-009,2.366E-009
4.657E-010,1.164E-010,0.000E+000,9.095E-013,-1.164E-009,1.097E-009
-2.328E-009,-5.821E-010,-9.313E-010,9.095E-012,-1.921E-009,-2.557E-009
9.313E-010,3.492E-010,0.000E+000,1.455E-010,1.310E-010,1.014E-009
1.397E-009,3.492E-010,0.000E+000,1.128E-010,-3.783E-010,-9.817E-011
-2.328E-009,-5.821E-010,9.313E-010,1.965E-010,1.935E-009,-5.305E-010
-4.657E-010,0.000E+000,-9.313E-010,9.277E-011,-2.372E-009,-7.763E-010
4.657E-010,2.328E-010,-9.313E-010,1.091E-011,-2.736E-009,2.315E-010
0.000E+000,0.000E+000,0.000E+000,2.747E-010,-9.022E-010,5.605E-011
-4.657E-010,-1.164E-010,0.000E+000,6.185E-011,-2.619E-010,-1.303E-009
-2.328E-009,-6.985E-010,0.000E+000,-1.892E-010,-1.339E-009,-8.242E-010
2.328E-009,5.821E-010,-1.863E-009,-2.055E-010,-3.729E-009,-1.949E-010
-4.657E-010,-1.164E-010,-1.863E-009,2.728E-012,-1.415E-009,-7.552E-010
-1.397E-009,-3.492E-010,0.000E+000,2.328E-010,2.336E-009,6.867E-011
1.863E-009,3.492E-010,0.000E+000,-3.456E-011,-2.674E-009,6.660E-010
1.397E-009,3.492E-010,0.000E+000,-9.823E-011,-1.630E-009,3.101E-009
4.657E-010,1.164E-010,0.000E+000,1.392E-010,2.838E-010,-5.887E-010
-4.657E-010,-1.164E-010,0.000E+000,6.276E-011,-1.790E-009,-6.912E-010
-4.657E-010,-1.164E-010,0.000E+000,8.367E-011,-1.557E-009,-3.408E-010
-4.657E-010,-2.328E-010,0.000E+000,-1.401E-010,-1.120E-009,1.394E-009
-1.397E-009,-3.492E-010,0.000E+000,1.892E-010,4.075E-010,8.265E-011
-1.863E-009,-3.492E-010,1.863E-009,2.728E-012,-1.171E-009,1.644E-009
0.000E+000,0.000E+000,0.000E+000,6.003E-011,-1.339E-009,1.068E-009
9.313E-010,2.328E-010,9.313E-010,-1.019E-010,6.912E-010,2.103E-009
-9.313E-010,-3.492E-010,1.863E-009,-4.366E-011,6.476E-010,1.955E-009
-9.313E-010,-2.328E-010,1.863E-009,6.912E-011,2.576E-009,1.101E-009
-1.863E-009,-4.657E-010,1.863E-009,7.549E-011,1.164E-010,1.009E-009
1.863E-009,4.657E-010,-1.863E-009,7.003E-011,-2.336E-009,2.049E-009
1.397E-009,3.492E-010,1.863E-009,1.637E-010,-1.288E-009,3.315E-009
4.657E-010,2.328E-010,9.313E-010,2.219E-010,-8.149E-010,8.305E-010
-9.313E-010,-2.328E-010,9.313E-010,1.637E-010,1.513E-009,8.880E-010
-2.794E-009,-6.985E-010,0.000E+000,2.910E-011,-5.530E-010,-1.686E-009
-1.397E-009,-3.492E-010,-9.313E-010,3.092E-011,5.530E-010,-1.120E-009
9.313E-010,2.328E-010,9.313E-010,-5.457E-011,-1.819E-009,8.305E-010
0.000E+000,1.164E-010,9.313E-010,1.619E-010,-1.193E-009,1.824E-009
1.397E-009,3.492E-010,-9.313E-010,-7.276E-012,-9.604E-010,-4.547E-010
1.397E-009,4.657E-010,-1.863E-009,2.101E-010,-2.678E-009,8.415E-010
-4.657E-010,-1.164E-010,9.313E-010,1.455E-010,1.150E-009,1.865E-009
-1.397E-009,-3.492E-010,9.313E-010,6.185E-011,8.731E-010,2.159E-009
-1.863E-009,-4.657E-010,9.313E-010,8.185E-011,1.281E-009,5.900E-010
-1.397E-009,-3.492E-010,1.863E-009,6.912E-011,1.135E-009,1.563E-009
